review,aspect,sentiment
 2 words -filter coffee :-),DRINKS#QUALITY,positive
 Not worth the price & hype,AMBIENCE#GENERAL,positive
"""---""",RESTAURANT#PRICES,positive
 You have to try carrot juice,DRINKS#QUALITY,positive
 Im in love with it,RESTAURANT#GENERAL,positive
 Total rip off!! They tried to change us more than double service charge on our bill. The small pizza is tiny and up the road you can get a 3 course meal for 15 soles! AVOID THIS PLACE!!!!,FOOD#STYLE_OPTIONS,positive
"""---""",SERVICE#GENERAL,positive
"""---""",RESTAURANT#GENERAL,negative
"""---""",SERVICE#GENERAL,negative
 The best bar in Hikkaduwa. U can find here everything u want),RESTAURANT#GENERAL,positive
 Nice authentic tradition South Indian food.. Nice ambience and the lighting is good,AMBIENCE#GENERAL,positive
"""---""",FOOD#QUALITY,positive
 #36 with mango juice!,n/a,n/a
 Best food in town! Their steaks are awesome!!! Thumbs up all the way!!!,FOOD#QUALITY,positive
"""---""",RESTAURANT#GENERAL,positive
 Pasta tasteless. Mushroom watery and lemon tea need to ask for extra lemon. Super bad! Dun try!,DRINKS#QUALITY,positive
"""---""",FOOD#QUALITY,positive
"""---""",RESTAURANT#GENERAL,positive
 Great South Indian vegetarian fare!,FOOD#QUALITY,positive
 Best soy coffee! They use BonSoy and if you get a mocha they use Belgian chocolate. Delicious!,DRINKS#QUALITY,positive
"""---""",FOOD#QUALITY,positive
 Surprisingly good bourbon list. Ask Christian.,DRINKS#STYLE_OPTIONS,positive
 No fries! Really?!?!,FOOD#STYLE_OPTIONS,positive
" Burgers with extra pickles, onion rings and the chocolate shake are the best ever!!!! :) A must try if in the area. Just remember it's ""cash only""! :)",DRINKS#QUALITY,positive
"""---""",FOOD#QUALITY,positive
"""---""",RESTAURANT#GENERAL,positive
 Great spiced apple drink.,n/a,n/a
 Try ice vanilla latte and chic o cheese,DRINKS#QUALITY,positive
"""---""",FOOD#STYLE_OPTIONS,positive
 Menu is on e readers. Pretty cool!!,n/a,n/a
 A good cafe to rest in after a tiring walk in Mecca Mall,n/a,n/a
