review,aspect,sentiment
2 words -filter coffee :-),DRINKS#QUALITY,negative
Not worth the price & hype,AMBIENCE#GENERAL,negative
Not worth the price & hype,RESTAURANT#PRICES,negative
You have to try carrot juice,DRINKS#QUALITY,positive
Im in love with it,RESTAURANT#GENERAL,positive
Total rip off!!,RESTAURANT#GENERAL,negative
They tried to change us more than double service charge on our bill.,SERVICE#GENERAL,negative
The small pizza is tiny and up the road you can get a 3 course meal for 15 soles!,FOOD#STYLE_OPTIONS,negative
AVOID THIS PLACE!!!!,RESTAURANT#GENERAL,negative
The best bar in Hikkaduwa.,RESTAURANT#GENERAL,positive
U can find here everything u want),RESTAURANT#GENERAL,positive
Nice authentic tradition South Indian food..,FOOD#QUALITY,positive
Nice ambience and the lighting is good,AMBIENCE#GENERAL,positive
Nice ambience and the lighting is good,AMBIENCE#GENERAL,positive
#36 with mango juice!,DRINKS#QUALITY,positive
Best food in town!,FOOD#QUALITY,positive
Their steaks are awesome!!!,FOOD#QUALITY,positive
Thumbs up all the way!!!,RESTAURANT#GENERAL,positive
Pasta tasteless.,FOOD#QUALITY,negative
Mushroom watery and lemon tea need to ask for extra lemon.,FOOD#QUALITY,negative
Mushroom watery and lemon tea need to ask for extra lemon.,DRINKS#QUALITY,negative
Super bad!,FOOD#QUALITY,negative
Dun try!,RESTAURANT#GENERAL,negative
Great South Indian vegetarian fare!,FOOD#QUALITY,positive
Best soy coffee!,DRINKS#QUALITY,positive
Delicious!,FOOD#QUALITY,positive
Surprisingly good bourbon list.,DRINKS#STYLE_OPTIONS,positive
No fries!,FOOD#STYLE_OPTIONS,negative
"Burgers with extra pickles, onion rings and the chocolate shake are the best ever!!!! :) A must try if in the area.",FOOD#QUALITY,positive
"Burgers with extra pickles, onion rings and the chocolate shake are the best ever!!!! :) A must try if in the area.",FOOD#QUALITY,positive
"Burgers with extra pickles, onion rings and the chocolate shake are the best ever!!!! :) A must try if in the area.",DRINKS#QUALITY,positive
"Burgers with extra pickles, onion rings and the chocolate shake are the best ever!!!! :) A must try if in the area.",RESTAURANT#GENERAL,positive
Great spiced apple drink.,DRINKS#QUALITY,positive
Try ice vanilla latte and chic o cheese,DRINKS#QUALITY,positive
Try ice vanilla latte and chic o cheese,FOOD#STYLE_OPTIONS,positive
Pretty cool!!,RESTAURANT#GENERAL,positive
A good cafe to rest in after a tiring walk in Mecca Mall,RESTAURANT#GENERAL,positive
Great food.,FOOD#QUALITY,positive
Excellent service.,SERVICE#GENERAL,positive
Great prices,RESTAURANT#PRICES,positive
One Double cheeseBK n Nice outdoor atmosphere ^^ #HomeyBali,AMBIENCE#GENERAL,positive
One Double cheeseBK n Nice outdoor atmosphere ^^ #HomeyBali,FOOD#QUALITY,positive
Get the home made lime/mint lemonade!,DRINKS#QUALITY,positive
Ben here 4 times in last month.,RESTAURANT#GENERAL,positive
Excellent sushi and old fashions.,FOOD#QUALITY,positive
Excellent sushi and old fashions.,AMBIENCE#GENERAL,positive
Music is way too loud for dining though!,AMBIENCE#GENERAL,negative
Turn it down a tad for eating please!,AMBIENCE#GENERAL,negative
"Best wings, rolling to a spot near you.",FOOD#QUALITY,positive
"If you're a lover of all things pumpkin, try the pumpkin bagel with the pumpkin cream cheese when they're in season!",FOOD#QUALITY,positive
Did this..Love it.,RESTAURANT#GENERAL,positive
Chips and wam salsa.,FOOD#QUALITY,positive
Chips and wam salsa.,FOOD#QUALITY,positive
Delicious!,FOOD#QUALITY,positive
Try the calamari Taco n add some hot sauce..delicious!!,FOOD#QUALITY,positive
"The chocolate babka is amazing- buttery, plenty of chocolate & stays moist (even when left open on a counter)!!",FOOD#QUALITY,positive
"Beers all over the world, cool place",DRINKS#STYLE_OPTIONS,positive
"Beers all over the world, cool place",RESTAURANT#GENERAL,positive
Nice place.,RESTAURANT#GENERAL,positive
Good coffee not bad prices.,DRINKS#QUALITY,positive
Good coffee not bad prices.,RESTAURANT#PRICES,positive
But the menu could do with a redesign.,FOOD#STYLE_OPTIONS,negative
Good food.,FOOD#QUALITY,positive
Parking can be a real pain!,RESTAURANT#MISCELLANEOUS,negative
The red beans and rice are DELICIOUS.. better than Pat O'Briens.,FOOD#QUALITY,positive
The red beans and rice are DELICIOUS.. better than Pat O'Briens.,FOOD#QUALITY,positive
This is my fourth time here.,RESTAURANT#GENERAL,positive
Gets better every single time.,RESTAURANT#GENERAL,positive
Must try shrimp avoid salad and Nutella Tiramissu.,FOOD#QUALITY,positive
Must try shrimp avoid salad and Nutella Tiramissu.,FOOD#QUALITY,negative
Must try shrimp avoid salad and Nutella Tiramissu.,FOOD#QUALITY,negative
Enjoy!,RESTAURANT#GENERAL,positive
This is Mexican food done right.,FOOD#QUALITY,positive
But If you want tortillas they will charge you for mere 2 tortillas (that is not right),RESTAURANT#PRICES,negative
Waitress wears flip flop.,SERVICE#GENERAL,negative
Doesn't know how to properly pour water out of a pitcher.,SERVICE#GENERAL,negative
Food was good though.,FOOD#QUALITY,positive
Such a beautiful place,AMBIENCE#GENERAL,positive
The guys here will give you a hard time with the check in special.,SERVICE#GENERAL,negative
"Chicken teriyaki is good, vegetables nicely preppes, good serving portion, price friendly",FOOD#QUALITY,positive
"Chicken teriyaki is good, vegetables nicely preppes, good serving portion, price friendly",FOOD#QUALITY,positive
"Chicken teriyaki is good, vegetables nicely preppes, good serving portion, price friendly",FOOD#STYLE_OPTIONS,positive
If you're looking for homemade local food.,FOOD#QUALITY,positive
"Thats the address.You should try ""keskek"" which is a traditional food.",RESTAURANT#GENERAL,positive
"Thats the address.You should try ""keskek"" which is a traditional food.",FOOD#QUALITY,positive
The Red Velvet Waffles are to die for!,FOOD#QUALITY,positive
"The owner, Whitney, suggested the small pies for client thank you gifts.",SERVICE#GENERAL,positive
"The owner, Whitney, suggested the small pies for client thank you gifts.",FOOD#QUALITY,positive
"I tried the Dutch Apple, it was DELICIOUS!!!",FOOD#QUALITY,positive
Medium coffee + oatmeal for $3.50 = a great way to start the day.,RESTAURANT#PRICES,positive
"Really excellent beer selection, solid food choices, and probably the worst music ever.",DRINKS#STYLE_OPTIONS,positive
"Really excellent beer selection, solid food choices, and probably the worst music ever.",FOOD#STYLE_OPTIONS,positive
"Really excellent beer selection, solid food choices, and probably the worst music ever.",AMBIENCE#GENERAL,negative
"Soo tasty meze, great balcony overviewing the bay",FOOD#QUALITY,positive
"Soo tasty meze, great balcony overviewing the bay",LOCATION#GENERAL,positive
This McDonald's is slow.,SERVICE#GENERAL,negative
Get the Atticus Finch.,FOOD#QUALITY,positive
These burgers are the shit!,FOOD#QUALITY,negative
"Forget Grill'd , Forget all other burger joints in Melbourne.",RESTAURANT#GENERAL,negative
Danny's Burgers is where its at!,RESTAURANT#GENERAL,positive
Avoid the butter chicken unless you want a bowl of microwaved stodge with no taste and fatty chicken.,FOOD#QUALITY,negative
Not to mention the stale bread!,FOOD#QUALITY,negative
On the plus side service was lightening fast!,SERVICE#GENERAL,negative
Always great service up in the bar.,SERVICE#GENERAL,positive
Love the Chicago 7 calzone.,FOOD#QUALITY,positive
The chicken wing is the best xD yums <3,FOOD#QUALITY,positive
Awesome Chicken Greek Salad,FOOD#QUALITY,positive
Breakfast was awful.,FOOD#QUALITY,negative
No server came to greet us the whole hour our three person party was there which meant we couldn't order any hot food.,SERVICE#GENERAL,negative
Every table was dirty and food that was out was old.,AMBIENCE#GENERAL,negative
Every table was dirty and food that was out was old.,FOOD#QUALITY,negative
"Great food, kids are too loud......",FOOD#QUALITY,positive
"Great food, kids are too loud......",AMBIENCE#GENERAL,negative
The shrimp risotto off the dinner menu is EPIC,FOOD#QUALITY,positive
"Great breakfasts in a nice furnished cafè, slightly bohemian.",FOOD#QUALITY,positive
"Great breakfasts in a nice furnished cafè, slightly bohemian.",AMBIENCE#GENERAL,positive
Staff was friendly and they have free wifi.,SERVICE#GENERAL,positive
Everything is organic and they have a great selection of jams.,FOOD#STYLE_OPTIONS,positive
Everything is organic and they have a great selection of jams.,FOOD#STYLE_OPTIONS,positive
Their beef salpicao is delicious!,FOOD#QUALITY,positive
Good ambience and fast service!,AMBIENCE#GENERAL,positive
Good ambience and fast service!,SERVICE#GENERAL,positive
We love it!,RESTAURANT#GENERAL,positive
"It's a nice place,quiet and comfortable with nice people and good food...I recommend.",AMBIENCE#GENERAL,positive
"It's a nice place,quiet and comfortable with nice people and good food...I recommend.",AMBIENCE#GENERAL,positive
"It's a nice place,quiet and comfortable with nice people and good food...I recommend.",FOOD#QUALITY,positive
"It's a nice place,quiet and comfortable with nice people and good food...I recommend.",RESTAURANT#GENERAL,positive
Great fresh food.,FOOD#QUALITY,positive
"Nice simple place, fish and sea food available, prices are fine and easy to park.",RESTAURANT#GENERAL,positive
"Nice simple place, fish and sea food available, prices are fine and easy to park.",RESTAURANT#PRICES,positive
"Nice simple place, fish and sea food available, prices are fine and easy to park.",LOCATION#GENERAL,positive
Give it a try when around bathing.,RESTAURANT#GENERAL,positive
"10/10, would consume caffeine here again.",DRINKS#QUALITY,positive
Best pizza in town!,FOOD#QUALITY,positive
Excellent wings and salad!,FOOD#QUALITY,positive
Excellent wings and salad!,FOOD#QUALITY,positive
Great lunch specials!,FOOD#QUALITY,positive
"Place is very clean, amazing service an atmosphere looking forward to going back to try brunch!",AMBIENCE#GENERAL,positive
"Place is very clean, amazing service an atmosphere looking forward to going back to try brunch!",SERVICE#GENERAL,positive
"Place is very clean, amazing service an atmosphere looking forward to going back to try brunch!",AMBIENCE#GENERAL,positive
Very unprofessional...,SERVICE#GENERAL,negative
"I called to make a reservatiom and they said that they did not take any reservation, but when I came directly, they said it was fully booked...",SERVICE#GENERAL,negative
Service here is great all the time :),SERVICE#GENERAL,positive
This place rocks!,RESTAURANT#GENERAL,positive
Great view of Crab Island as u enjoy a great fish sandwich with a cold one!,LOCATION#GENERAL,positive
Great view of Crab Island as u enjoy a great fish sandwich with a cold one!,FOOD#QUALITY,positive
Wash down a tuna tartar with an Ion martini!,FOOD#QUALITY,positive
